timestamp,pod_id,station,layer,side,crop_type,growth_stage,disease_flag,confidence,action,reason,ground_truth_stage,ground_truth_diseased
2026-09-13T18:36:45.367039+00:00,St0-L0-F,0,0,front,cabbage,S9,False,0.755,schedule_monitoring,"healthy, confident, and near harvest ('S9') -- tighten monitoring cadence",S2_3,False
2026-09-13T18:36:45.408330+00:00,St0-L0-B,0,0,back,lettuce,Early Growth,False,0.843,log_and_continue,"healthy, confident reading (0.84) at stage 'Early Growth'",Leafy growth,False
2026-09-13T18:36:45.442094+00:00,St0-L1-F,0,1,front,mushroom,Harvest,False,0.685,schedule_monitoring,healthy but marginal confidence (0.69) -- re-check sooner,Harvest,True
2026-09-13T18:36:45.490246+00:00,St0-L1-B,0,1,back,cabbage,S2_3,False,0.921,log_and_continue,"healthy, confident reading (0.92) at stage 'S2_3'",S9,False
2026-09-13T18:36:45.522923+00:00,St0-L2-F,0,2,front,lettuce,Harvest stage,True,0.71,flag_for_treatment,disease detected at stage 'Harvest stage' with confidence 0.71,Early Growth,False
2026-09-13T18:36:45.573855+00:00,St0-L2-B,0,2,back,mushroom,Intermediate,False,0.801,schedule_monitoring,"healthy, confident, and near harvest ('Intermediate') -- tighten monitoring cadence",Intermediate,False
2026-09-13T18:36:45.622731+00:00,St0-L3-F,0,3,front,cabbage,S4_5,False,0.645,schedule_monitoring,healthy but marginal confidence (0.65) -- re-check sooner,S6_7,True
2026-09-13T18:36:45.659825+00:00,St0-L3-B,0,3,back,lettuce,Leafy growth,False,0.551,schedule_monitoring,low-confidence reading (0.55 < 0.6) -- re-check before trusting it,Harvest stage,False
2026-09-13T18:36:45.703392+00:00,St1-L3-F,1,3,front,mushroom,Intermediate,True,0.602,flag_for_treatment,disease detected at stage 'Intermediate' with confidence 0.60,Harvest,True
2026-09-13T18:36:45.750028+00:00,St1-L3-B,1,3,back,cabbage,S9,False,0.639,schedule_monitoring,healthy but marginal confidence (0.64) -- re-check sooner,S9,False
2026-09-13T18:36:45.786919+00:00,St1-L2-F,1,2,front,cabbage,S4_5,False,0.71,log_and_continue,"healthy, confident reading (0.71) at stage 'S4_5'",S2_3,False
2026-09-13T18:36:45.813205+00:00,St1-L2-B,1,2,back,lettuce,Head formation,True,0.866,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.87,Leafy growth,False
2026-09-13T18:36:45.864246+00:00,St1-L1-F,1,1,front,lettuce,Harvest stage,False,0.658,schedule_monitoring,healthy but marginal confidence (0.66) -- re-check sooner,Head formation,True
2026-09-13T18:36:45.899760+00:00,St1-L1-B,1,1,back,mushroom,Intermediate,True,0.776,flag_for_treatment,disease detected at stage 'Intermediate' with confidence 0.78,Harvest,False
2026-09-13T18:36:45.948343+00:00,St1-L0-F,1,0,front,mushroom,Intermediate,False,0.799,schedule_monitoring,"healthy, confident, and near harvest ('Intermediate') -- tighten monitoring cadence",Juvenile,False
2026-09-13T18:36:45.985400+00:00,St1-L0-B,1,0,back,cabbage,S8,False,0.688,schedule_monitoring,healthy but marginal confidence (0.69) -- re-check sooner,S4_5,False
2026-09-13T18:36:46.032151+00:00,St2-L0-F,2,0,front,lettuce,Head formation,False,0.872,schedule_monitoring,"healthy, confident, and near harvest ('Head formation') -- tighten monitoring cadence",Early Growth,False
2026-09-13T18:36:46.070513+00:00,St2-L0-B,2,0,back,mushroom,Intermediate,True,0.818,flag_for_treatment,disease detected at stage 'Intermediate' with confidence 0.82,Intermediate,False
2026-09-13T18:36:46.124392+00:00,St2-L1-F,2,1,front,cabbage,S2_3,True,0.95,flag_for_treatment,disease detected at stage 'S2_3' with confidence 0.95,S6_7,True
2026-09-13T18:36:46.176741+00:00,St2-L1-B,2,1,back,lettuce,Harvest stage,False,0.832,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-13T18:36:46.221536+00:00,St2-L2-F,2,2,front,mushroom,Juvenile,True,0.976,flag_for_treatment,disease detected at stage 'Juvenile' with confidence 0.98,Juvenile,False
2026-09-13T18:36:46.273992+00:00,St2-L2-B,2,2,back,cabbage,S2_3,False,0.701,log_and_continue,"healthy, confident reading (0.70) at stage 'S2_3'",S4_5,False
2026-09-13T18:36:46.307599+00:00,St2-L3-F,2,3,front,lettuce,Early Growth,False,0.86,log_and_continue,"healthy, confident reading (0.86) at stage 'Early Growth'",Head formation,True
2026-09-13T18:36:46.339620+00:00,St2-L3-B,2,3,back,mushroom,Juvenile,True,0.888,flag_for_treatment,disease detected at stage 'Juvenile' with confidence 0.89,Harvest,False
