timestamp,pod_id,row,col,layer,side,crop_type,growth_stage,disease_flag,confidence,action,reason,ground_truth_stage,ground_truth_diseased
2026-09-15T02:48:46.716340+00:00,R0C0-L0-F,0,0,0,front,cabbage,S2_3,False,0.931,log_and_continue,"healthy, confident reading (0.93) at stage 'S2_3'",S2_3,False
2026-09-15T02:48:46.805850+00:00,R0C0-L0-B,0,0,0,back,lettuce,Leafy growth,False,0.891,log_and_continue,"healthy, confident reading (0.89) at stage 'Leafy growth'",Leafy growth,False
2026-09-15T02:48:46.886225+00:00,R0C0-L1-F,0,0,1,front,mushroom,Harvest,True,0.951,flag_for_treatment,disease detected at stage 'Harvest' with confidence 0.95,Harvest,True
2026-09-15T02:48:46.969592+00:00,R0C0-L1-B,0,0,1,back,cabbage,S9,False,0.897,schedule_monitoring,"healthy, confident, and near harvest ('S9') -- tighten monitoring cadence",S9,False
2026-09-15T02:48:47.036313+00:00,R0C0-L2-F,0,0,2,front,lettuce,Early Growth,False,0.845,log_and_continue,"healthy, confident reading (0.84) at stage 'Early Growth'",Early Growth,False
2026-09-15T02:48:47.086608+00:00,R0C0-L2-B,0,0,2,back,mushroom,Intermediate,False,0.87,schedule_monitoring,"healthy, confident, and near harvest ('Intermediate') -- tighten monitoring cadence",Intermediate,False
2026-09-15T02:48:47.133458+00:00,R0C0-L3-F,0,0,3,front,cabbage,S6_7,True,0.813,flag_for_treatment,disease detected at stage 'S6_7' with confidence 0.81,S6_7,True
2026-09-15T02:48:47.181075+00:00,R0C0-L3-B,0,0,3,back,lettuce,Harvest stage,False,0.844,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-15T02:48:47.229238+00:00,R0C1-L3-F,0,1,3,front,mushroom,Harvest,True,0.808,flag_for_treatment,disease detected at stage 'Harvest' with confidence 0.81,Harvest,True
2026-09-15T02:48:47.279849+00:00,R0C1-L3-B,0,1,3,back,cabbage,S8,False,0.412,schedule_monitoring,low-confidence reading (0.41 < 0.6) -- re-check before trusting it,S9,False
2026-09-15T02:48:47.329720+00:00,R0C1-L2-F,0,1,2,front,cabbage,S2_3,False,0.895,log_and_continue,"healthy, confident reading (0.90) at stage 'S2_3'",S2_3,False
2026-09-15T02:48:47.385079+00:00,R0C1-L2-B,0,1,2,back,lettuce,Leafy growth,False,0.981,log_and_continue,"healthy, confident reading (0.98) at stage 'Leafy growth'",Leafy growth,False
2026-09-15T02:48:47.445430+00:00,R0C1-L1-F,0,1,1,front,lettuce,Head formation,True,0.829,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.83,Head formation,True
2026-09-15T02:48:47.529843+00:00,R0C1-L1-B,0,1,1,back,mushroom,Harvest,False,0.824,schedule_monitoring,"healthy, confident, and near harvest ('Harvest') -- tighten monitoring cadence",Harvest,False
2026-09-15T02:48:47.614723+00:00,R0C1-L0-F,0,1,0,front,mushroom,Intermediate,True,0.655,flag_for_treatment,disease detected at stage 'Intermediate' with confidence 0.66,Juvenile,False
2026-09-15T02:48:47.718017+00:00,R0C1-L0-B,0,1,0,back,cabbage,S4_5,False,0.829,log_and_continue,"healthy, confident reading (0.83) at stage 'S4_5'",S4_5,False
2026-09-15T02:48:47.812417+00:00,R0C2-L0-F,0,2,0,front,lettuce,Early Growth,False,0.889,log_and_continue,"healthy, confident reading (0.89) at stage 'Early Growth'",Early Growth,False
2026-09-15T02:48:47.907888+00:00,R0C2-L0-B,0,2,0,back,mushroom,Intermediate,False,0.814,schedule_monitoring,"healthy, confident, and near harvest ('Intermediate') -- tighten monitoring cadence",Intermediate,False
2026-09-15T02:48:47.994617+00:00,R0C2-L1-F,0,2,1,front,cabbage,S6_7,True,0.928,flag_for_treatment,disease detected at stage 'S6_7' with confidence 0.93,S6_7,True
2026-09-15T02:48:48.079796+00:00,R0C2-L1-B,0,2,1,back,lettuce,Harvest stage,False,0.925,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-15T02:48:48.155050+00:00,R0C2-L2-F,0,2,2,front,mushroom,Harvest,False,0.425,schedule_monitoring,low-confidence reading (0.42 < 0.6) -- re-check before trusting it,Juvenile,False
2026-09-15T02:48:48.221256+00:00,R0C2-L2-B,0,2,2,back,cabbage,S4_5,False,0.906,log_and_continue,"healthy, confident reading (0.91) at stage 'S4_5'",S4_5,False
