timestamp,pod_id,station,layer,side,crop_type,growth_stage,disease_flag,confidence,action,reason,ground_truth_stage,ground_truth_diseased
2026-09-13T18:38:35.680810+00:00,St0-L0-F,0,0,front,cabbage,S2_3,False,0.862,log_and_continue,"healthy, confident reading (0.86) at stage 'S2_3'",S2_3,False
2026-09-13T18:38:35.711236+00:00,St0-L0-B,0,0,back,lettuce,Leafy growth,True,0.663,flag_for_treatment,disease detected at stage 'Leafy growth' with confidence 0.66,Leafy growth,False
2026-09-13T18:38:35.757960+00:00,St0-L1-F,0,1,front,mushroom,Juvenile,True,0.949,flag_for_treatment,disease detected at stage 'Juvenile' with confidence 0.95,Harvest,True
2026-09-13T18:38:35.803603+00:00,St0-L1-B,0,1,back,cabbage,S6_7,False,0.877,log_and_continue,"healthy, confident reading (0.88) at stage 'S6_7'",S9,False
2026-09-13T18:38:35.833119+00:00,St0-L2-F,0,2,front,lettuce,Harvest stage,False,0.741,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Early Growth,False
2026-09-13T18:38:35.872787+00:00,St0-L2-B,0,2,back,mushroom,Harvest,False,0.849,schedule_monitoring,"healthy, confident, and near harvest ('Harvest') -- tighten monitoring cadence",Intermediate,False
2026-09-13T18:38:35.911986+00:00,St0-L3-F,0,3,front,cabbage,S4_5,False,0.846,log_and_continue,"healthy, confident reading (0.85) at stage 'S4_5'",S6_7,True
2026-09-13T18:38:35.938833+00:00,St0-L3-B,0,3,back,lettuce,Early Growth,False,0.757,log_and_continue,"healthy, confident reading (0.76) at stage 'Early Growth'",Harvest stage,False
2026-09-13T18:38:35.975354+00:00,St1-L3-F,1,3,front,mushroom,Harvest,True,0.886,flag_for_treatment,disease detected at stage 'Harvest' with confidence 0.89,Harvest,True
2026-09-13T18:38:36.029513+00:00,St1-L3-B,1,3,back,cabbage,S9,True,0.9,flag_for_treatment,disease detected at stage 'S9' with confidence 0.90,S9,False
2026-09-13T18:38:36.076016+00:00,St1-L2-F,1,2,front,cabbage,S4_5,True,0.587,schedule_monitoring,low-confidence reading (0.59 < 0.6) -- re-check before trusting it,S2_3,False
2026-09-13T18:38:36.110224+00:00,St1-L2-B,1,2,back,lettuce,Head formation,False,0.839,schedule_monitoring,"healthy, confident, and near harvest ('Head formation') -- tighten monitoring cadence",Leafy growth,False
2026-09-13T18:38:36.146003+00:00,St1-L1-F,1,1,front,lettuce,Harvest stage,True,0.939,flag_for_treatment,disease detected at stage 'Harvest stage' with confidence 0.94,Head formation,True
2026-09-13T18:38:36.192916+00:00,St1-L1-B,1,1,back,mushroom,Intermediate,False,0.854,schedule_monitoring,"healthy, confident, and near harvest ('Intermediate') -- tighten monitoring cadence",Harvest,False
2026-09-13T18:38:36.228285+00:00,St1-L0-F,1,0,front,mushroom,Juvenile,False,0.917,log_and_continue,"healthy, confident reading (0.92) at stage 'Juvenile'",Juvenile,False
2026-09-13T18:38:36.253269+00:00,St1-L0-B,1,0,back,cabbage,S2_3,False,0.637,schedule_monitoring,healthy but marginal confidence (0.64) -- re-check sooner,S4_5,False
2026-09-13T18:38:36.296369+00:00,St2-L0-F,2,0,front,lettuce,Head formation,False,0.891,schedule_monitoring,"healthy, confident, and near harvest ('Head formation') -- tighten monitoring cadence",Early Growth,False
2026-09-13T18:38:36.331921+00:00,St2-L0-B,2,0,back,mushroom,Juvenile,False,0.96,log_and_continue,"healthy, confident reading (0.96) at stage 'Juvenile'",Intermediate,False
2026-09-13T18:38:36.359581+00:00,St2-L1-F,2,1,front,cabbage,S8,False,0.72,schedule_monitoring,"healthy, confident, and near harvest ('S8') -- tighten monitoring cadence",S6_7,True
2026-09-13T18:38:36.393875+00:00,St2-L1-B,2,1,back,lettuce,Early Growth,False,0.884,log_and_continue,"healthy, confident reading (0.88) at stage 'Early Growth'",Harvest stage,False
2026-09-13T18:38:36.421981+00:00,St2-L2-F,2,2,front,mushroom,Intermediate,False,0.616,schedule_monitoring,healthy but marginal confidence (0.62) -- re-check sooner,Juvenile,False
2026-09-13T18:38:36.457091+00:00,St2-L2-B,2,2,back,cabbage,S2_3,False,0.59,schedule_monitoring,low-confidence reading (0.59 < 0.6) -- re-check before trusting it,S4_5,False
2026-09-13T18:38:36.492701+00:00,St2-L3-F,2,3,front,lettuce,Harvest stage,False,0.627,schedule_monitoring,healthy but marginal confidence (0.63) -- re-check sooner,Head formation,True
2026-09-13T18:38:36.526755+00:00,St2-L3-B,2,3,back,mushroom,Intermediate,True,0.56,schedule_monitoring,low-confidence reading (0.56 < 0.6) -- re-check before trusting it,Harvest,False
