timestamp,pod_id,station,layer,side,crop_type,growth_stage,disease_flag,confidence,action,reason,ground_truth_stage,ground_truth_diseased
2026-09-13T18:38:40.817804+00:00,St0-L0-F,0,0,front,cabbage,S2_3,False,0.966,log_and_continue,"healthy, confident reading (0.97) at stage 'S2_3'",S2_3,False
2026-09-13T18:38:41.560421+00:00,St0-L0-B,0,0,back,lettuce,Leafy growth,False,0.84,log_and_continue,"healthy, confident reading (0.84) at stage 'Leafy growth'",Leafy growth,False
2026-09-13T18:38:42.369025+00:00,St0-L1-F,0,1,front,mushroom,Harvest,True,0.802,flag_for_treatment,disease detected at stage 'Harvest' with confidence 0.80,Harvest,True
2026-09-13T18:38:43.113484+00:00,St0-L1-B,0,1,back,cabbage,S9,False,0.851,schedule_monitoring,"healthy, confident, and near harvest ('S9') -- tighten monitoring cadence",S9,False
2026-09-13T18:38:43.933681+00:00,St0-L2-F,0,2,front,lettuce,Head formation,False,0.459,schedule_monitoring,low-confidence reading (0.46 < 0.6) -- re-check before trusting it,Early Growth,False
2026-09-13T18:38:44.686390+00:00,St0-L2-B,0,2,back,mushroom,Intermediate,False,0.923,schedule_monitoring,"healthy, confident, and near harvest ('Intermediate') -- tighten monitoring cadence",Intermediate,False
2026-09-13T18:38:45.511623+00:00,St0-L3-F,0,3,front,cabbage,S2_3,True,0.495,schedule_monitoring,low-confidence reading (0.49 < 0.6) -- re-check before trusting it,S6_7,True
2026-09-13T18:38:46.250014+00:00,St0-L3-B,0,3,back,lettuce,Harvest stage,False,0.969,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-13T18:38:47.426864+00:00,St1-L3-F,1,3,front,mushroom,Harvest,True,0.903,flag_for_treatment,disease detected at stage 'Harvest' with confidence 0.90,Harvest,True
2026-09-13T18:38:48.189742+00:00,St1-L3-B,1,3,back,cabbage,S9,False,0.936,schedule_monitoring,"healthy, confident, and near harvest ('S9') -- tighten monitoring cadence",S9,False
2026-09-13T18:38:49.019897+00:00,St1-L2-F,1,2,front,cabbage,S2_3,False,0.893,log_and_continue,"healthy, confident reading (0.89) at stage 'S2_3'",S2_3,False
2026-09-13T18:38:49.759873+00:00,St1-L2-B,1,2,back,lettuce,Leafy growth,False,0.865,log_and_continue,"healthy, confident reading (0.86) at stage 'Leafy growth'",Leafy growth,False
2026-09-13T18:38:50.572534+00:00,St1-L1-F,1,1,front,lettuce,Head formation,True,0.94,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.94,Head formation,True
2026-09-13T18:38:51.335882+00:00,St1-L1-B,1,1,back,mushroom,Harvest,False,0.827,schedule_monitoring,"healthy, confident, and near harvest ('Harvest') -- tighten monitoring cadence",Harvest,False
2026-09-13T18:38:52.171243+00:00,St1-L0-F,1,0,front,mushroom,Juvenile,False,0.879,log_and_continue,"healthy, confident reading (0.88) at stage 'Juvenile'",Juvenile,False
2026-09-13T18:38:52.906735+00:00,St1-L0-B,1,0,back,cabbage,S4_5,False,0.919,log_and_continue,"healthy, confident reading (0.92) at stage 'S4_5'",S4_5,False
2026-09-13T18:38:54.057081+00:00,St2-L0-F,2,0,front,lettuce,Early Growth,False,0.973,log_and_continue,"healthy, confident reading (0.97) at stage 'Early Growth'",Early Growth,False
2026-09-13T18:38:54.796906+00:00,St2-L0-B,2,0,back,mushroom,Intermediate,False,0.904,schedule_monitoring,"healthy, confident, and near harvest ('Intermediate') -- tighten monitoring cadence",Intermediate,False
2026-09-13T18:38:55.618803+00:00,St2-L1-F,2,1,front,cabbage,S6_7,True,0.948,flag_for_treatment,disease detected at stage 'S6_7' with confidence 0.95,S6_7,True
2026-09-13T18:38:56.387275+00:00,St2-L1-B,2,1,back,lettuce,Harvest stage,False,0.894,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-13T18:38:57.215140+00:00,St2-L2-F,2,2,front,mushroom,Juvenile,False,0.937,log_and_continue,"healthy, confident reading (0.94) at stage 'Juvenile'",Juvenile,False
2026-09-13T18:38:57.929851+00:00,St2-L2-B,2,2,back,cabbage,S4_5,False,0.901,log_and_continue,"healthy, confident reading (0.90) at stage 'S4_5'",S4_5,False
2026-09-13T18:38:59.046643+00:00,St2-L3-F,2,3,front,lettuce,Head formation,True,0.971,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.97,Head formation,True
2026-09-13T18:38:59.832894+00:00,St2-L3-B,2,3,back,mushroom,Harvest,True,0.662,flag_for_treatment,disease detected at stage 'Harvest' with confidence 0.66,Harvest,False
