timestamp,pod_id,station,layer,side,crop_type,growth_stage,disease_flag,confidence,action,reason,ground_truth_stage,ground_truth_diseased
2026-09-13T18:32:48.802763+00:00,St0-L0-F,0,0,front,cabbage,S2_3,False,0.806,log_and_continue,"healthy, confident reading (0.81) at stage 'S2_3'",S2_3,False
2026-09-13T18:32:49.498378+00:00,St0-L0-B,0,0,back,lettuce,Leafy growth,False,0.953,log_and_continue,"healthy, confident reading (0.95) at stage 'Leafy growth'",Leafy growth,False
2026-09-13T18:32:50.259896+00:00,St0-L1-F,0,1,front,mushroom,Harvest,True,0.908,flag_for_treatment,disease detected at stage 'Harvest' with confidence 0.91,Harvest,True
2026-09-13T18:32:50.978233+00:00,St0-L1-B,0,1,back,cabbage,S2_3,False,0.481,schedule_monitoring,low-confidence reading (0.48 < 0.6) -- re-check before trusting it,S9,False
2026-09-13T18:32:51.876459+00:00,St0-L2-F,0,2,front,lettuce,Early Growth,False,0.97,log_and_continue,"healthy, confident reading (0.97) at stage 'Early Growth'",Early Growth,False
2026-09-13T18:32:52.565179+00:00,St0-L2-B,0,2,back,mushroom,Intermediate,False,0.876,schedule_monitoring,"healthy, confident, and near harvest ('Intermediate') -- tighten monitoring cadence",Intermediate,False
2026-09-13T18:32:53.346054+00:00,St0-L3-F,0,3,front,cabbage,S6_7,False,0.491,schedule_monitoring,low-confidence reading (0.49 < 0.6) -- re-check before trusting it,S6_7,True
2026-09-13T18:32:54.080367+00:00,St0-L3-B,0,3,back,lettuce,Harvest stage,False,0.882,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-13T18:32:55.160064+00:00,St1-L3-F,1,3,front,mushroom,Harvest,True,0.978,flag_for_treatment,disease detected at stage 'Harvest' with confidence 0.98,Harvest,True
2026-09-13T18:32:55.871314+00:00,St1-L3-B,1,3,back,cabbage,S9,False,0.886,schedule_monitoring,"healthy, confident, and near harvest ('S9') -- tighten monitoring cadence",S9,False
2026-09-13T18:32:56.631604+00:00,St1-L2-F,1,2,front,cabbage,S2_3,False,0.877,log_and_continue,"healthy, confident reading (0.88) at stage 'S2_3'",S2_3,False
2026-09-13T18:32:57.322057+00:00,St1-L2-B,1,2,back,lettuce,Leafy growth,False,0.943,log_and_continue,"healthy, confident reading (0.94) at stage 'Leafy growth'",Leafy growth,False
2026-09-13T18:32:58.099074+00:00,St1-L1-F,1,1,front,lettuce,Head formation,True,0.801,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.80,Head formation,True
2026-09-13T18:32:58.929461+00:00,St1-L1-B,1,1,back,mushroom,Harvest,False,0.804,schedule_monitoring,"healthy, confident, and near harvest ('Harvest') -- tighten monitoring cadence",Harvest,False
2026-09-13T18:32:59.786931+00:00,St1-L0-F,1,0,front,mushroom,Juvenile,False,0.851,log_and_continue,"healthy, confident reading (0.85) at stage 'Juvenile'",Juvenile,False
2026-09-13T18:33:00.539752+00:00,St1-L0-B,1,0,back,cabbage,S4_5,False,0.831,log_and_continue,"healthy, confident reading (0.83) at stage 'S4_5'",S4_5,False
2026-09-13T18:33:01.694103+00:00,St2-L0-F,2,0,front,lettuce,Early Growth,False,0.804,log_and_continue,"healthy, confident reading (0.80) at stage 'Early Growth'",Early Growth,False
2026-09-13T18:33:02.430935+00:00,St2-L0-B,2,0,back,mushroom,Intermediate,False,0.833,schedule_monitoring,"healthy, confident, and near harvest ('Intermediate') -- tighten monitoring cadence",Intermediate,False
2026-09-13T18:33:03.260095+00:00,St2-L1-F,2,1,front,cabbage,S6_7,True,0.896,flag_for_treatment,disease detected at stage 'S6_7' with confidence 0.90,S6_7,True
2026-09-13T18:33:04.019739+00:00,St2-L1-B,2,1,back,lettuce,Harvest stage,False,0.9,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-13T18:33:04.822199+00:00,St2-L2-F,2,2,front,mushroom,Juvenile,False,0.902,log_and_continue,"healthy, confident reading (0.90) at stage 'Juvenile'",Juvenile,False
2026-09-13T18:33:05.521852+00:00,St2-L2-B,2,2,back,cabbage,S4_5,False,0.875,log_and_continue,"healthy, confident reading (0.88) at stage 'S4_5'",S4_5,False
2026-09-13T18:33:06.337509+00:00,St2-L3-F,2,3,front,lettuce,Head formation,True,0.937,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.94,Head formation,True
2026-09-13T18:33:07.093636+00:00,St2-L3-B,2,3,back,mushroom,Harvest,False,0.914,schedule_monitoring,"healthy, confident, and near harvest ('Harvest') -- tighten monitoring cadence",Harvest,False
