timestamp,pod_id,station,layer,side,crop_type,growth_stage,disease_flag,confidence,action,reason,ground_truth_stage,ground_truth_diseased
2026-09-13T18:29:24.815957+00:00,St0-L0-F,0,0,front,cabbage,S2_3,False,0.903,log_and_continue,"healthy, confident reading (0.90) at stage 'S2_3'",S2_3,False
2026-09-13T18:29:24.832541+00:00,St0-L0-B,0,0,back,lettuce,Leafy growth,False,0.915,log_and_continue,"healthy, confident reading (0.92) at stage 'Leafy growth'",Leafy growth,False
2026-09-13T18:29:24.846378+00:00,St0-L1-F,0,1,front,mushroom,Harvest,True,0.812,flag_for_treatment,disease detected at stage 'Harvest' with confidence 0.81,Harvest,True
2026-09-13T18:29:24.863199+00:00,St0-L1-B,0,1,back,cabbage,S9,False,0.959,schedule_monitoring,"healthy, confident, and near harvest ('S9') -- tighten monitoring cadence",S9,False
2026-09-13T18:29:24.875834+00:00,St0-L2-F,0,2,front,lettuce,Early Growth,False,0.845,log_and_continue,"healthy, confident reading (0.84) at stage 'Early Growth'",Early Growth,False
2026-09-13T18:29:24.888744+00:00,St0-L2-B,0,2,back,mushroom,Intermediate,False,0.592,schedule_monitoring,low-confidence reading (0.59 < 0.6) -- re-check before trusting it,Intermediate,False
2026-09-13T18:29:24.907249+00:00,St0-L3-F,0,3,front,cabbage,S6_7,True,0.964,flag_for_treatment,disease detected at stage 'S6_7' with confidence 0.96,S6_7,True
2026-09-13T18:29:24.928754+00:00,St0-L3-B,0,3,back,lettuce,Harvest stage,False,0.829,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-13T18:29:24.951124+00:00,St1-L3-F,1,3,front,mushroom,Intermediate,False,0.635,schedule_monitoring,healthy but marginal confidence (0.64) -- re-check sooner,Harvest,True
2026-09-13T18:29:24.966759+00:00,St1-L3-B,1,3,back,cabbage,S9,False,0.944,schedule_monitoring,"healthy, confident, and near harvest ('S9') -- tighten monitoring cadence",S9,False
2026-09-13T18:29:24.976300+00:00,St1-L2-F,1,2,front,cabbage,S2_3,False,0.857,log_and_continue,"healthy, confident reading (0.86) at stage 'S2_3'",S2_3,False
2026-09-13T18:29:24.985710+00:00,St1-L2-B,1,2,back,lettuce,Leafy growth,False,0.964,log_and_continue,"healthy, confident reading (0.96) at stage 'Leafy growth'",Leafy growth,False
2026-09-13T18:29:24.995683+00:00,St1-L1-F,1,1,front,lettuce,Head formation,True,0.937,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.94,Head formation,True
2026-09-13T18:29:25.012243+00:00,St1-L1-B,1,1,back,mushroom,Harvest,False,0.549,schedule_monitoring,low-confidence reading (0.55 < 0.6) -- re-check before trusting it,Harvest,False
2026-09-13T18:29:25.025411+00:00,St1-L0-F,1,0,front,mushroom,Juvenile,False,0.91,log_and_continue,"healthy, confident reading (0.91) at stage 'Juvenile'",Juvenile,False
2026-09-13T18:29:25.032938+00:00,St1-L0-B,1,0,back,cabbage,S4_5,False,0.434,schedule_monitoring,low-confidence reading (0.43 < 0.6) -- re-check before trusting it,S4_5,False
2026-09-13T18:29:25.047198+00:00,St2-L0-F,2,0,front,lettuce,Early Growth,False,0.841,log_and_continue,"healthy, confident reading (0.84) at stage 'Early Growth'",Early Growth,False
2026-09-13T18:29:25.057709+00:00,St2-L0-B,2,0,back,mushroom,Intermediate,False,0.699,schedule_monitoring,healthy but marginal confidence (0.70) -- re-check sooner,Intermediate,False
2026-09-13T18:29:25.071583+00:00,St2-L1-F,2,1,front,cabbage,S6_7,True,0.958,flag_for_treatment,disease detected at stage 'S6_7' with confidence 0.96,S6_7,True
2026-09-13T18:29:25.086881+00:00,St2-L1-B,2,1,back,lettuce,Harvest stage,False,0.901,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-13T18:29:25.095717+00:00,St2-L2-F,2,2,front,mushroom,Juvenile,False,0.844,log_and_continue,"healthy, confident reading (0.84) at stage 'Juvenile'",Juvenile,False
2026-09-13T18:29:25.106086+00:00,St2-L2-B,2,2,back,cabbage,S4_5,False,0.974,log_and_continue,"healthy, confident reading (0.97) at stage 'S4_5'",S4_5,False
2026-09-13T18:29:25.114586+00:00,St2-L3-F,2,3,front,lettuce,Head formation,True,0.853,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.85,Head formation,True
2026-09-13T18:29:25.132242+00:00,St2-L3-B,2,3,back,mushroom,Harvest,False,0.932,schedule_monitoring,"healthy, confident, and near harvest ('Harvest') -- tighten monitoring cadence",Harvest,False
