timestamp,pod_id,layer,slot,crop_type,growth_stage,disease_flag,confidence,action,reason,ground_truth_stage,ground_truth_diseased
2026-09-13T12:24:15.713008+00:00,L0-P0,0,0,cabbage,S4_5,True,0.889,flag_for_treatment,disease detected at stage 'S4_5' with confidence 0.89,S2_3,False
2026-09-13T12:24:15.749643+00:00,L0-P1,0,1,lettuce,Harvest stage,False,0.83,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Leafy growth,False
2026-09-13T12:24:15.778978+00:00,L0-P2,0,2,mushroom,Juvenile,True,0.755,flag_for_treatment,disease detected at stage 'Juvenile' with confidence 0.76,Harvest,True
2026-09-13T12:24:15.814379+00:00,L0-P3,0,3,cabbage,S6_7,True,0.735,flag_for_treatment,disease detected at stage 'S6_7' with confidence 0.73,S9,False
2026-09-13T12:24:15.852443+00:00,L1-P3,1,3,lettuce,Harvest stage,False,0.973,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-13T12:24:15.883007+00:00,L1-P2,1,2,cabbage,S2_3,True,0.989,flag_for_treatment,disease detected at stage 'S2_3' with confidence 0.99,S6_7,True
2026-09-13T12:24:15.919002+00:00,L1-P1,1,1,mushroom,Juvenile,False,0.982,log_and_continue,"healthy, confident reading (0.98) at stage 'Juvenile'",Intermediate,False
2026-09-13T12:24:15.937934+00:00,L1-P0,1,0,lettuce,Head formation,False,0.873,schedule_monitoring,"healthy, confident, and near harvest ('Head formation') -- tighten monitoring cadence",Early Growth,False
2026-09-13T12:24:15.964761+00:00,L2-P0,2,0,mushroom,Juvenile,True,0.918,flag_for_treatment,disease detected at stage 'Juvenile' with confidence 0.92,Juvenile,False
2026-09-13T12:24:15.996253+00:00,L2-P1,2,1,cabbage,S6_7,True,0.706,flag_for_treatment,disease detected at stage 'S6_7' with confidence 0.71,S4_5,False
2026-09-13T12:24:16.026601+00:00,L2-P2,2,2,lettuce,Leafy growth,False,0.617,schedule_monitoring,healthy but marginal confidence (0.62) -- re-check sooner,Head formation,True
2026-09-13T12:24:16.049738+00:00,L2-P3,2,3,mushroom,Juvenile,False,0.844,log_and_continue,"healthy, confident reading (0.84) at stage 'Juvenile'",Harvest,False
