timestamp,pod_id,layer,slot,crop_type,growth_stage,disease_flag,confidence,action,reason,ground_truth_stage,ground_truth_diseased
2026-09-13T12:25:17.418244+00:00,L0-P0,0,0,cabbage,S2_3,False,0.741,log_and_continue,"healthy, confident reading (0.74) at stage 'S2_3'",S2_3,False
2026-09-13T12:25:17.438816+00:00,L0-P1,0,1,lettuce,Head formation,True,0.721,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.72,Leafy growth,False
2026-09-13T12:25:17.470396+00:00,L0-P2,0,2,mushroom,Intermediate,False,0.607,schedule_monitoring,healthy but marginal confidence (0.61) -- re-check sooner,Harvest,True
2026-09-13T12:25:17.494343+00:00,L0-P3,0,3,cabbage,S9,False,0.968,schedule_monitoring,"healthy, confident, and near harvest ('S9') -- tighten monitoring cadence",S9,False
2026-09-13T12:25:17.521444+00:00,L1-P3,1,3,lettuce,Harvest stage,False,0.747,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Harvest stage,False
2026-09-13T12:25:17.546230+00:00,L1-P2,1,2,cabbage,S2_3,False,0.631,schedule_monitoring,healthy but marginal confidence (0.63) -- re-check sooner,S6_7,True
2026-09-13T12:25:17.570139+00:00,L1-P1,1,1,mushroom,Intermediate,True,0.864,flag_for_treatment,disease detected at stage 'Intermediate' with confidence 0.86,Intermediate,False
2026-09-13T12:25:17.600705+00:00,L1-P0,1,0,lettuce,Harvest stage,False,0.936,schedule_monitoring,"healthy, confident, and near harvest ('Harvest stage') -- tighten monitoring cadence",Early Growth,False
2026-09-13T12:25:17.628873+00:00,L2-P0,2,0,mushroom,Intermediate,False,0.629,schedule_monitoring,healthy but marginal confidence (0.63) -- re-check sooner,Juvenile,False
2026-09-13T12:25:17.653964+00:00,L2-P1,2,1,cabbage,S4_5,False,0.922,log_and_continue,"healthy, confident reading (0.92) at stage 'S4_5'",S4_5,False
2026-09-13T12:25:17.673889+00:00,L2-P2,2,2,lettuce,Head formation,True,0.76,flag_for_treatment,disease detected at stage 'Head formation' with confidence 0.76,Head formation,True
2026-09-13T12:25:17.704546+00:00,L2-P3,2,3,mushroom,Harvest,True,0.63,flag_for_treatment,disease detected at stage 'Harvest' with confidence 0.63,Harvest,False
